field_name,collection,csv_file
dcterms_medium,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_rights,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
fedora_lastModifiedBy,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
fedora_writable,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_subject,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_title,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
fedora_lastModified,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
files,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dcterms_spatial,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_creator,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dc_relation,berger_cloonan_batch_3,berger_cloonan_batch_3.csv
dcterms_medium,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
fedora_hasParent,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
ldp_contains,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
fedora_lastModifiedBy,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_identifier,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dcterms_type,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_rights,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dcterms_accessRights,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dcterms_extent,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_title,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_format,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
fedora_lastModified,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_type,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
tamudigital_local/details,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_subject,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
fedora_createdBy,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
fedora_created,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dcterms_created,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
dc_publisher,berger_cloonan_batch_4,berger_cloonan_batch_4.csv
